시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 02:04,10,927,46.83,1764,29.39,84.84,210,22142,40,9.34
8/28/2017 02:05,11.24,961,47.96,1977,32.95,97.35,230,23760,44.2,10.51
8/28/2017 02:06,12.01,873,42.53,1979,32.97,83.87,250,40337,41.79,11.31
8/28/2017 02:07,11.12,914,44.54,1911,31.85,83.56,259,25476,38.79,10.33
8/28/2017 02:08,11.9,807,39.26,1866,31.1,92.17,273,27860,38.4,11.24
8/28/2017 02:09,12.18,872,42.63,1997,33.28,95.38,256,39555,42.2,11.41
8/28/2017 02:10,12.07,1380,70.18,1789,29.81,84.75,216,25744,49.79,11.05
8/28/2017 02:11,11.05,1042,50.33,1773,29.54,93.92,212,23669,40,10.7
8/28/2017 02:12,12.17,891,43.33,1927,32.11,88.44,233,39417,41.79,11.43
8/28/2017 02:13,10.29,963,49,1645,27.41,80.15,188,20979,41.79,9.11
8/28/2017 02:14,11.22,1184,59.81,1877,31.28,80.55,211,23630,40.59,10.31
8/28/2017 02:15,10.9,1146,56.36,1754,29.23,89.25,197,35484,36,10.37
8/28/2017 02:16,9.39,801,38.61,1577,26.28,98.69,210,20683,33,8.77
8/28/2017 02:17,10.86,872,43.56,1842,30.7,75.93,194,23304,38.59,10.27
8/28/2017 02:18,10.98,741,36.81,1785,29.75,81.04,194,36821,35.79,10.21
8/28/2017 02:19,11.58,817,41.34,1931,32.18,71.59,209,25334,41.79,10.74
8/28/2017 02:20,9.83,1294,67.45,1547,25.78,64.53,186,20262,44,8.8
8/28/2017 02:21,11.35,1048,52.4,1661,27.68,64.81,246,37696,37.79,10.94
8/28/2017 02:22,9.47,792,38.63,1512,25.2,81.84,197,21504,34.79,8.81
8/28/2017 02:23,9.72,715,35.06,1563,26.04,77.14,183,20149,35.59,8.94
8/28/2017 02:24,10.1,885,45,1577,26.28,67.94,178,33514,35.59,9.35
8/28/2017 02:25,9.34,928,48.06,1458,24.29,86.16,210,20880,31.2,8.39
8/28/2017 02:26,8.61,902,44.96,1391,23.18,96.02,158,19368,32.2,7.99
8/28/2017 02:27,10.13,795,39.63,1587,26.45,61.21,167,35112,38.59,9.21
8/28/2017 02:28,10.58,922,46.2,1776,29.6,92.75,207,22937,39.79,9.93
8/28/2017 02:29,11.21,659,32.79,1871,31.18,62.19,195,25600,39.79,10.56
8/28/2017 02:30,11.64,1092,56.96,1848,30.79,79.48,161,35434,46.4,10.44
8/28/2017 02:31,10.91,1017,51.43,1802,30.03,78.04,224,25413,36.2,10.31
8/28/2017 02:32,11.81,883,43.76,1968,32.79,73.4,203,24763,43.59,11.12
8/28/2017 02:33,11.45,1085,55.89,1973,32.88,75.58,199,36688,40.59,10.54
8/28/2017 02:34,10.36,950,47.93,1817,30.28,73.7,185,22503,36.79,9.77
8/28/2017 02:35,11.51,750,37.03,2019,33.65,73.13,217,25016,42.4,10.72
8/28/2017 02:36,11.83,938,46.76,1894,31.56,71.36,258,38636,41.79,11.05
8/28/2017 02:37,10.65,907,44.43,1759,29.31,66.52,204,23278,38,9.91
8/28/2017 02:38,10.95,985,48.83,1977,32.95,67.56,198,23612,42.4,10.29
8/28/2017 02:39,12.51,815,40.36,2219,36.97,81.48,210,38765,44.2,11.55
8/28/2017 02:40,11.52,1112,55.2,1993,33.21,68.83,174,23855,49,10.58
8/28/2017 02:41,12.61,886,43.08,2334,38.9,64.44,221,28414,51.2,11.84
8/28/2017 02:42,13.23,1035,51.15,2316,38.59,84.7,247,40994,44.79,12.39
8/28/2017 02:43,12.08,1183,59.5,2130,35.5,70.78,234,27842,47.2,11.15
8/28/2017 02:44,10.49,911,43.84,1936,32.26,71.73,199,21850,39.2,9.94
